AAA;ASIA CONTAINER LEASING CO LTD;WAN CHAI;Hong Kong, China
AAB;ALLTAINER VIETNAM CO, LTD;LONG AN;Vietnam
AAC;ACE GLOBAL LINES DWC - LLC;DUBAI;United Arab Emirates
AAF;BUNDESMINISTERIUM FUR LANDESVERTEIDIGUNG;WIEN;Austria
AAG;ROLLS-ROYCE SOLUTIONS RUHSTORF GMBH;RUHSTORF;Germany
AAI;A.A SHIPPING LTD;TEL AVIV;Israel
AAM;ALBATROSS TANK LEASING B.V.;HONG KONG;Hong Kong, China
AAR;AARCADIAN, LLC;Denver;United States
AAT;AMFICO AGENCIES PVT LTD;Mumbai;India
ABB;ATLANTIC BULK CARRIERS MANAGMENT LTD;NEW YORK, NY 10019;United States
ABC;ABC MOBILE STORAGE;NORFOLK, NE-68701;United States
ABE;L&T C.V.;'s-Hertogenbosch;Netherlands
ABG;ABILITY GROUP;St.-Petersburg;Russian Federation
ABK;XIAMEN JIEHANG INTERNATIONAL FREIGHT FORWARDING CO., LTD.;Xiamen;China
ABL;ETAT-MAJOR DES FORCES ARMEES BELGES;BRUSSELS;Belgium
ABM;RM RAIL ABAKANVAGONMASH;ABAKAN;Russian Federation
ABS;AL SADIK AHMED A. BAABOUD SHIPPING CO.;Jeddah, Mecca;Saudi Arabia
ACA;ARCTIC CONTAINER OY;HELSINKI;Finland
ACB;ACB CONTAINERS NV;Antwerpen;Belgium
ACC;ATLANTIC COAST CONTAINER;GREENVILLE, SC-29609;United States
ACD;DESOTEC NV;ROESELARE;Belgium
ACE;ACE CONTAINER SERVICES LTD;LEEDS, LS10 1RT;United Kingdom
ACL;ATLANTIC CONTAINER LINE;WESTFIELD, NJ 07090;United States
ACN;NOURYON FUNCTIONAL CHEMICALS;Rotterdam;Netherlands
ACO;COMPAÑIA LOGISTICA ACOTRAL, S.A.U.;Antequera;Spain
ACQ;ACUBENS SHIPPING & TRADING PTE.LTD.;SINGAPORE;Singapore
ACR;ACCIPITER OILFIELD EQUIPMENT;DALIAN;China
ACS;Commonwealth Independent States Navigation (2019) Inc;MONTREAL, QC;Canada
ACW;AIGA CONCEPT;VISEU;Portugal
ACX;G2 OCEAN AS;Bergen;Norway
ACY;ACS SYSTEMS LIMITED;Hong Kong;Hong Kong, China
ADB;AGROCEL INDUSTRIES PVT LTD.;Bhuj;India
ADC;ADECON SP. Z.O.O.;Zelazkow;Poland
ADF;ADROIT FREIGHT PTE LTD;Singapour;Singapore
ADH;ADHOC S.R.L;VENICE;Italy
ADK;ADOKIM KIMYA SANAYI VE TICARET A.S.;Antalya, Dosemealti;Turkey
ADM;ADMIRAL CONTAINER LINES INC LIMITED;VALLETTA;Malta
ADP;A D SHIPPING & LOGISTICS;MUMBAI;India
ADT;ADEN TRANSEXIM SRL;Chisinau;Moldova, Republic of
ADV;CKC;Novosibirsk, Novosibirsk district;Russian Federation
ADX;APPLIED CRYO TECHNOLOGIES;HOUSTON, TX-77075;United States
ADY;ADY CONTAINER LLC;Baku;Azerbaijan
AEG;AEGEUS ENERGY SOLUTIONS LTD;Mexborough S64 9JP;United Kingdom
AEL;MITSUBISHI CHEMICAL CORPORATION;TOKYO;Japan
AER;AEROSOLEX LLC;Dzerzhinsk (Nizhniy Novgorod region);Russian Federation
AES;AES ANDRES;Santo Domingo;Dominican Republic
AEV;BLUEHORN AG;Basel;Switzerland
AEX;AFRICA EXPRESS LINE LTD;Kent  ME19 4UY;United Kingdom
AFB;AFFILIPS NV;TIENEN;Belgium
AFC;AFC ENERGY PLC;CRANLEIGH;United Kingdom
AFF;AFFHAN SHIPPING LLC;DUBAI;United Arab Emirates
AFI;AGMARK CAPITAL HOLDINGS INC.;NASHVILLE, TN 37201;United States
AFK;AMERICAN SEAFOODS COMPANY;Seattle;United States
AFL;SIL;ROUSSET;France
AFM;ALFIL LOGISTICS S.A.;EL PRAT DE LLOBREGAT;Spain
AFR;FRIGO INDUS;Mannouba;Tunisia
AFS;L'AUTOFRIGO SUD SRL;MONOPOLI;Italy
AFT;ALBATROSS TANK LEASING B.V.;Moerdijk;Netherlands
AFV;ALFONS FRERIKS LOGISTICS;DRACHTEN;Netherlands
AGA;LINDE GAS BENELUX;SCHIEDAM;Netherlands
AGB;ARCHEAN CHEMICAL INDUSTRIES LIMITED;CHENNAI , TAMILNADU;India
AGC;GREIWING LOGISTICS FOR YOU GMBH;GREVEN;Germany
AGF;THE ARABIAN INDUSTRIAL GASES CO LLC DUBAI BRANCH;DUBAI;United Arab Emirates
AGH;AFRICA GLOBAL LOGISTICS;ROUBAIX;France
AGI;GOLDEN SOMERSET ROCK LTD;London;United Kingdom
AGK;AGGREKO MANUFACTURING;DUMBARTON G82 3RG;United Kingdom
AGL;AGUNSA-AGENCIA UNIVERSALES S.A;SANTIAGO;Chile
AGM;AGMARK CAPITAL HOLDINGS INC.;NASHVILLE, TN 37201;United States
AGN;ANGA SP. Z.O.O.;Gdansk;Poland
AGO;AIRGAS USA LLC.;Tulsa, OK 74120-1633;United States
AGP;A-GAS (UK) LTD;BRISTOL, BS20 7XH;United Kingdom
AGS;LINDE GAS AB;MITCHELDEAN;United Kingdom
AHE;AIRLIFE GASES PRIVATE LIMITED;Pune, Maharastra;India
AHG;AL GHAITH INDUSTRIES L.L.C;Abu Dhabi;United Arab Emirates
AHL;MAMMOET EUROPE BV;SCHIEDAM;Netherlands
AIB;AIRBUS SAS;BLAGNAC;France
AIC;ALLIED CONTAINER LINE PTE LTD;SINGAPORE;Singapore
AID;ALBEMARLE CORPORATION;Charlotte, NC 28209;United States
AIG;AIRGGAS USA, LLC;Tulsa, OK 74120-1633;United States
AIL;ARMITA INDIA SHIPPING PVT LTD;Mumbai;India
AIM;TRS CONTAINERS & CHASSIS;AVENEL, NJ 0700-0188;United States
AIP;A.I.P.P INDUSTRIES LTD;Kfar qari;Israel
AIR;AIR PRODUCTS;Allentown;United States
AIS;AZIENDA SERVIZI TRASPORTI LOGISTICA S.R.L.;SPINADESCO (CR);Italy
AIT;ARKEMA B.V. – LOCATION ROTTERDAM;Vondelingenplaat;Netherlands
AKA;PE ANYKIEIENKO KONSTIANTYN;DNIPRO CITY (DNIPROPETROVSK REGION);Ukraine
AKB;ALLNEX RESINS NETHERLANDS BV;BERGEN OP ZOOM;Netherlands
AKG;ONLYCHEMICAL (SHANGHAI) CO.,LIMITED;Shanghai;China
AKK;AKKON DENIZCILIK NAKLIYAT VE TICARET A.S.;İstanbul;Turkey
AKL;KAWASAKI KISEN KAISHA LTD - K LINE;TOKYO;Japan
AKM;ALTALOGOS LLC;EKATERINBURG;Russian Federation
AKP;"LLC ""KOMTRANSSERVICE""";Novosibirsk;Russian Federation
AKR;AMERICAN SEAFOODS COMPANY;Seattle;United States
AKV;AKVAZASHITA LLC;KALININGRAD;Russian Federation
ALA;JSC EKOPET;KALININGRAD;Russian Federation
ALB;ALBLAS INT. TRANSPORT BV;'S GRAVENDEEL;Netherlands
ALC;AARTI INDUSTRIES LIMITED;MULUND WEST MUMBAI;India
ALF;AIR LIQUIDE FAR EASTERN LTD;WUCHI /TAICHUNG;Taiwan, China
ALG;AIR LIQUIDE GLOBAL HELIUM FZE;DUBAI;United Arab Emirates
ALH;AIR LIQUIDE TRINIDAD & TOBAGO LIMITED;POINT LISAS, COUVA;Trinidad and Tobago
ALI;UNIVERSAL FOREST PRODUCTS, INC.;MEDLEY, FL 33178;United States
ALJ;AIR LIQUIDE JAPAN LTD;TOKYO;Japan
ALK;ALTUN LOJISTIK A.S.;MERSIN;Turkey
ALL;ALCONET(ALLIED CONTAINER  NETWORK ) BV;ROTTERDAM;Netherlands
ALM;ALMAR CONTAINERS (EAST AFRICA) LTD;DURBAN;South Africa
ALN;CARU CONTAINERS BV;ROTTERDAM;Netherlands
ALO;AIR LIQUIDE MARITIME SAS;Levallois Perret;France
ALP;AIR LIQUIDE FRANCE INDUSTRIE;CHALON-SUR-SAÔNE CEDEX;France
ALR;ALMAR CONTAINERS (EAST AFRICA) LTD;DURBAN;South Africa
ALS;AIR LIQUIDE GAS AB;MALMO;Sweden
ALT;VTG TANKTAINER ASSETS GMBH;HAMBURG;Germany
ALV;AIR LIQUIDE ELECTRONICS MATERIALS (ZHANGJIAGANG) CO.,LTD;JIANG SU PROVINCE;China
ALX;AIRLIFE GASES PRIVATE LIMITED;Pune, Maharastra;India
ALZ;AIR LIQUIDE NEW ZEALAND;Auckland;New Zealand
AMA;ALIANÇA EQUIQ. CONTÊINERES  MANAUS LTDA;Manaus;Brazil
AMC;CMA-CGM;MARSEILLE CEDEX 02;France
AME;ACE CRANES & ENGINEERING FZ-LLC;Al Hamra Al Jazirah;United Arab Emirates
